Density	Temperature	Pressure	Energy	Entropy	ParticleVelocity	LagWavespeed
+2.702700e+00	+3.099325e+02	+1.832402e+00	+8.042579e-03	-2.847184e-01	+1.289213e-01	+5.562060e+00	
+2.704020e+00	+3.101725e+02	+1.871347e+00	+8.376896e-03	-2.846101e-01	+1.315739e-01	+5.569249e+00	
+2.705340e+00	+3.104125e+02	+1.910355e+00	+8.717923e-03	-2.844951e-01	+1.342273e-01	+5.576442e+00	
+2.706661e+00	+3.106525e+02	+1.949426e+00	+9.065654e-03	-2.843735e-01	+1.368815e-01	+5.583638e+00	
+2.707981e+00	+3.108924e+02	+1.988559e+00	+9.420082e-03	-2.842452e-01	+1.395365e-01	+5.590838e+00	
+2.709301e+00	+3.111323e+02	+2.027755e+00	+9.781200e-03	-2.841102e-01	+1.421924e-01	+5.598042e+00	
+2.710622e+00	+3.113722e+02	+2.067014e+00	+1.014900e-02	-2.839685e-01	+1.448491e-01	+5.605249e+00	
+2.711942e+00	+3.116121e+02	+2.106335e+00	+1.052348e-02	-2.838201e-01	+1.475067e-01	+5.612460e+00	
+2.713262e+00	+3.118519e+02	+2.145720e+00	+1.090464e-02	-2.836651e-01	+1.501650e-01	+5.619675e+00	
+2.714583e+00	+3.120918e+02	+2.185167e+00	+1.129246e-02	-2.835034e-01	+1.528242e-01	+5.626894e+00	
+2.715903e+00	+3.123316e+02	+2.224677e+00	+1.168693e-02	-2.833351e-01	+1.554843e-01	+5.634116e+00	
+2.717223e+00	+3.125714e+02	+2.264250e+00	+1.208807e-02	-2.831601e-01	+1.581451e-01	+5.641344e+00	
+2.718543e+00	+3.128112e+02	+2.303885e+00	+1.249597e-02	-2.829784e-01	+1.608068e-01	+5.648477e+00	
+2.719864e+00	+3.130509e+02	+2.343582e+00	+1.291068e-02	-2.827899e-01	+1.634692e-01	+5.655614e+00	
+2.721184e+00	+3.132907e+02	+2.383341e+00	+1.333219e-02	-2.825946e-01	+1.661324e-01	+5.662756e+00	
+2.722504e+00	+3.135304e+02	+2.423162e+00	+1.376049e-02	-2.823927e-01	+1.687964e-01	+5.669903e+00	
+2.723825e+00	+3.137701e+02	+2.463044e+00	+1.419557e-02	-2.821839e-01	+1.714611e-01	+5.677054e+00	
+2.725145e+00	+3.140098e+02	+2.502989e+00	+1.463743e-02	-2.819684e-01	+1.741266e-01	+5.684210e+00	
+2.726465e+00	+3.142494e+02	+2.542995e+00	+1.508605e-02	-2.817462e-01	+1.767929e-01	+5.691371e+00	
+2.727786e+00	+3.144890e+02	+2.583063e+00	+1.554143e-02	-2.815173e-01	+1.794600e-01	+5.698537e+00	
+2.729106e+00	+3.147287e+02	+2.623194e+00	+1.600355e-02	-2.812816e-01	+1.821279e-01	+5.705707e+00	
+2.730426e+00	+3.149683e+02	+2.663386e+00	+1.647242e-02	-2.810392e-01	+1.847965e-01	+5.712882e+00	
+2.731747e+00	+3.152078e+02	+2.703641e+00	+1.694802e-02	-2.807901e-01	+1.874659e-01	+5.720062e+00	
+2.733067e+00	+3.154474e+02	+2.743957e+00	+1.743035e-02	-2.805343e-01	+1.901360e-01	+5.727246e+00	
+2.734387e+00	+3.156869e+02	+2.784337e+00	+1.791940e-02	-2.802718e-01	+1.928070e-01	+5.734435e+00	
+2.735708e+00	+3.159265e+02	+2.824778e+00	+1.841515e-02	-2.800026e-01	+1.954787e-01	+5.741629e+00	
+2.737028e+00	+3.161660e+02	+2.865282e+00	+1.891761e-02	-2.797267e-01	+1.981512e-01	+5.748828e+00	
+2.738348e+00	+3.164054e+02	+2.905848e+00	+1.942676e-02	-2.794441e-01	+2.008244e-01	+5.756031e+00	
+2.739669e+00	+3.166449e+02	+2.946477e+00	+1.994259e-02	-2.791549e-01	+2.034984e-01	+5.763240e+00	
